summoner_name,rank_tier,lp,win_rate,region
oskivarela#1899,iron,1,,euw
セントマイケル095#EUp,iron,1,3%,euw
Zucchetta#EUW,iron,1,,euw
Lentejas#Jesse,iron,1,,euw
Ferbuckson#EUW,iron,1,,euw
FairyCrossFire#3383,iron,1,,euw
PomaresYT#AFK,iron,1,,euw
P3R50NNE#EUW,iron,1,,euw
YumeNikki666#Koko,iron,1,,euw
Berliniheb#28882,iron,1,,euw
berevaleska#006,iron,1,,euw
granizia12345678#EUW,iron,1,,euw
MOHICAN066#EUW,iron,1,,euw
TolliePicsViData#fer,iron,1,,euw
Trezaloi01#EUW,iron,1,,euw
PiZzAeSel#EUW,iron,1,,euw
Xayahbird420#EUW,iron,1,,euw
Navonod19#9708,iron,1,,euw
KellysHeroes#EUW,iron,1,,euw
Ben 0ne#EUW,iron,1,,euw
Allrush#UWU,iron,1,,euw
KiwiOFSpirit#EUW,iron,1,,euw
Kenma Kozume#1907,iron,1,,euw
Dankerena#PeBSq,iron,1,,euw
SirFiStIc#YtHUb,iron,1,,euw
Golmur#EUW,iron,1,,euw
DarkXAndy#EUW,iron,1,,euw
Nocurse#EUW,iron,1,,euw
slide83000#EUW,iron,1,,euw
Codon#EUW,iron,1,,euw
Wolfen767#EUW,iron,1,,euw
Aylayani#1111,iron,1,,euw
LemonsAreSigma#42069,iron,1,,euw
ZKR#1555,iron,1,,euw
AlbiDickieeez#379,iron,1,,euw
LaSavane78#78190,iron,1,,euw
MentorZanuka#Zizbo,iron,1,,euw
Jeakeros#11111,iron,500,,euw
wupax#11000,iron,500,60%,euw
glokeurッ#ftg,iron,500,60%,euw
Mattoux#1706,iron,500,60%,euw
PainLp1#2004,iron,500,45%,euw
melonmuncher9431#2663,iron,26,57%,euw
KonigKartoffel#0808,iron,500,57%,euw
norbic#1085,iron,500,40%,euw
schoko#2189,iron,500,64%,euw
Xeinus#9191,iron,500,60%,euw
Alyquam#2104,iron,500,67%,euw
BlkstarX10#3021,iron,500,62%,euw
PranoxDox#0815,iron,500,64%,euw
iwilltakeurheart#4753,iron,47,60%,euw
A1lcor#4932,iron,500,64%,euw
bambiix71#AEDW,iron,500,60%,euw
Nabuchondinosaur#EUW,iron,500,54%,euw
MadiMerkwürdig#EUW,iron,500,60%,euw
LOL architect   #EUW,iron,500,40%,euw
Phenoxx#bébou,iron,500,60%,euw
sawchaw#9592,iron,500,100%,euw
DEsaidXmehdyMUTH#coco,iron,500,57%,euw
Ataraxia#1922,iron,500,60%,euw
Quellyl#EUW,iron,500,56%,euw
Spearo#6749,iron,500,65%,euw
4K1Z0N#EUW,iron,500,62%,euw
TheOldNiM#EUW,iron,500,62%,euw
Cavatelli00#2687,iron,500,64%,euw
momowade4real#EUW,iron,500,60%,euw
Subsky2001#EUW,iron,500,40%,euw
baki7777777#EUW,iron,500,56%,euw
FDZLOKO#EUW,iron,500,62%,euw
Føukøu666#EUW,iron,500,60%,euw
PoussinSlayer #EUW,iron,500,60%,euw
Champ021#EUW,iron,500,56%,euw
Marinvin#EUW,iron,500,67%,euw
sltan1#EUW,iron,500,62%,euw
Plumette79#EUW,iron,500,62%,euw
GROOT 238#EUW,iron,500,57%,euw
wingedwonder#EUW,iron,500,62%,euw
DJ Modlivoj#EUW,iron,500,58%,euw
BOLONCHO#WwW,iron,500,60%,euw
Fatalfuria10#EUW,iron,500,60%,euw
AlKashisama974#EUW,iron,500,62%,euw
BillonaireBoy#EUW,iron,500,60%,euw
reinva#EUW,iron,500,60%,euw
Whisky#Ghost,iron,500,60%,euw
S4ngAsx3#EUW,iron,500,60%,euw
Brandosau#EUW,iron,500,60%,euw
NikoMaki#EUW,iron,500,59%,euw
immortelleblade#EUW,iron,500,67%,euw
xTaznol#EUW,iron,500,67%,euw
RedFox01#EUW,iron,500,68%,euw
Mr MR#7777,iron,500,62%,euw
Gilipichia#EUW,iron,500,62%,euw
elamako#EUW,iron,500,60%,euw
vulturuplesuv#georg,iron,500,60%,euw
frantovic#EUW,iron,500,60%,euw
ice1989#EUW,iron,500,60%,euw
WaDaFCK#EUW,iron,500,60%,euw
JACQUEL1NO#NO1,iron,500,57%,euw
