match_id,team_id,team_won,gold_diff,damage_diff,kills_diff,deaths_diff,assists_diff,vision_diff,turrets_diff,dragons_diff,barons_diff,cs_diff
EUW1_6830888490,100,0,-8457,-9923,-16,16,-14,-23,-2,-2,0,-41
EUW1_6830888490,200,1,8457,9923,16,-16,14,23,2,2,0,41
EUW1_6831164008,100,0,-15769,-50203,-24,24,-13,-51,-10,-4,0,-112
EUW1_6831164008,200,1,15769,50203,24,-24,13,51,10,4,0,112
EUW1_6831188605,100,0,-10824,-28947,-21,21,-17,-12,-6,-2,0,-89
EUW1_6831188605,200,1,10824,28947,21,-21,17,12,6,2,0,89
EUW1_6831228505,100,0,-11490,-24540,-9,9,-21,-7,-6,-3,-2,-23
EUW1_6831228505,200,1,11490,24540,9,-9,21,7,6,3,2,23
EUW1_6831257411,100,0,-11004,-11756,-19,19,-35,-12,-3,-2,-1,-14
EUW1_6831257411,200,1,11004,11756,19,-19,35,12,3,2,1,14
EUW1_6831331423,100,1,3874,-23488,-6,6,-22,-73,0,-3,1,-64
EUW1_6831331423,200,0,-3874,23488,6,-6,22,73,0,3,-1,64
EUW1_6831335689,100,0,-12004,-31596,-11,11,-50,28,-6,-2,-1,-157
EUW1_6831335689,200,1,12004,31596,11,-11,50,-28,6,2,1,157
EUW1_6831786456,100,0,-11004,-334,-11,11,-23,-31,-7,-3,-1,-36
EUW1_6831786456,200,1,11004,334,11,-11,23,31,7,3,1,36
EUW1_6831814930,100,0,-9982,-21434,-10,10,-18,14,-7,-2,0,-83
EUW1_6831814930,200,1,9982,21434,10,-10,18,-14,7,2,0,83
EUW1_6831868073,100,1,3698,-1396,-7,7,-10,-22,3,0,0,148
EUW1_6831868073,200,0,-3698,1396,7,-7,10,22,-3,0,0,-148
EUW1_6832004266,100,1,7231,22640,15,-15,16,-2,2,1,0,27
EUW1_6832004266,200,0,-7231,-22640,-15,15,-16,2,-2,-1,0,-27
EUW1_6832043189,100,0,-13574,-4620,-16,16,13,-81,-8,-4,-2,-104
EUW1_6832043189,200,1,13574,4620,16,-16,-13,81,8,4,2,104
