puuid,summoner_name,tier,region
s906MnySlySepupABTPQdIARsPhY1HjGnh2JZ5fSdgE-rYp8hM71IiZbDn2fR9_0nZ-MEK-_T7i6ew,PL0pes#EUW,Iron,EUW1
Teq2wUk6MGFuHHmn8h3WrsRXDaUgt1T0HrDEt2ogEvnwieYUEShFEo4gC-Bb8G-OV0_5-kkBhSg4Gw,Wulf#EUW66,Iron,EUW1
5aXm8GHhOrkRCBWMr7rnWB5Ko0TXySxaIv0fIU3pvZtk_dZwCS7kMM__FoDobe_F330zZ3FSxC6_gA,MarieM230ZouAoui#EUW,Iron,EUW1
1_bZ6kHEimO2hcnbdkXvdNBlsi7_Bd_b-nS0LiHzTh5fb48DqOiH1wmc8Q1FsiVIqsbZz7nSMJmzmQ,Dolce2k#EUW,Iron,EUW1
eWdupQNuRZvRTkMoJsyh01F1S4OX66Cl1BrIKKVVIQYxNi7ZwvlMTm1rBVQ9hJhLmD9uI5pzZVCG7Q,CMD Tempris#EUW,Iron,EUW1
RhZvHDRQGkoJDzUBhECAbx6-nqV_atu-8O999iXvqi8jNSv-cQX9CZGrKFf2xImC8PrKddCig3yTYA,JohnnyOnGod#JGM,Iron,EUW1
_HOpznx0YTKJqxNmMn7yz-LtlOQH96J1se5IcxdKXGsGSjphWYtoTzDkGF9C_LpZsUngBmJqzxtwxA,Atzarm#EUW,Iron,EUW1
k-D4htX_RznvoyBE_VfGR5udbuZvHjwDzt4xFRtJkyPYTM2UkALRSvQTg5y1A32QzPMEVtsELINn3Q,b4nkrptt#EUW,Iron,EUW1
gzPDmrbla_UbB3yf0Mu0zqkMPmIu8fKrsxMHhf-m_bTNeoc5aqh_uS2-IzHFw6PXbPGOvUTwsrUrUw,Kimarhi#EUW,Iron,EUW1
Fnj3Bk3xs0aHr2tZ0kASgJtRYCKiekpjG0y0CArP8tQItOiSmi3Cmv2jXNbjq2jmOkSc6b1C7EiuDg,seraos95#EUW,Iron,EUW1
w6Apdsr6Irgw1VuGO4I5rEMYHU5LSYnLBZYVIh2VKk0WupsyOKqThI9J_ommj6ml7DVMDNBPU85_DA,Panterh3art#EUW,Iron,EUW1
lU-EW7xcVWq46iFs6rBPZIBs2CDBz8oxCoAuwzs2VRrcxa-WuOa5oNn5KL_35CXLMqM344CqQYC-yg,Lolylo#EUW,Iron,EUW1
0t025izEvEeMmZ4uZlMim9plbG6vJlXi21QioE2vwMe5Lc0nwEl7YGB9FM5Ev5U-x8GMJ-_mEE8XAQ,TacticKiwi#EUW,Iron,EUW1
hMws2FKG2mvLqYqvcIFVAqzP0C8m4qGtdJAkU1ZnmoIYkgn0HUXfvyqh7w6RfhkYSdUtj9TZQIGBmA,Darknoid#EUW,Iron,EUW1
B1w_bHfoGvuPNqDgyHKjNsJKsxNnx0PL2gt41mAwhkBiz7oEI7JDZORLPNNnkmjl8Cqr4kkLsrnxLQ,MaCaNetteDeDuFF#EUW,Iron,EUW1
Le6apd0-B5jvEy9gQJhHlijpJJ5KiCfoEfWyDkhKOOk0PFewMcHjJ4P3EekfOonl908WFoEGHOoqYg,Scordak#EUW,Iron,EUW1
